candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept,stop_pct,rv_gate,trail_scale,threshold_scale
C_sp4.0_rv75_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,75.0,1.1,1.1
C_sp4.0_rv80_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,80.0,1.1,1.1
C_sp4.0_rv85_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,85.0,1.1,1.1
C_sp4.0_rv90_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,90.0,1.1,1.1
C_sp4.0_rv70_tr1.10_th1.10,273.7514,25.41,248.3414,4,2,2,16.6629,-0.2286,True,4.0,70.0,1.1,1.1
C_sp4.5_rv70_tr1.10_th1.10,266.1175,25.5171,240.6004,4,2,2,9.0289,-0.1214,True,4.5,70.0,1.1,1.1
C_sp5.0_rv80_tr1.00_th1.00,257.0886,25.6386,231.45,0,0,0,0.0,0.0,False,5.0,80.0,1.0,1.0
C_sp4.0_rv75_tr0.90_th1.10,256.6012,25.3029,231.2984,3,2,2,-0.4873,-0.3357,False,4.0,75.0,0.9,1.1
C_sp4.0_rv80_tr0.90_th1.10,256.6012,25.3029,231.2984,3,2,2,-0.4873,-0.3357,False,4.0,80.0,0.9,1.1
C_sp4.0_rv85_tr0.90_th1.10,256.6012,25.3029,231.2984,3,2,2,-0.4873,-0.3357,False,4.0,85.0,0.9,1.1
C_sp4.0_rv90_tr0.90_th1.10,256.6012,25.3029,231.2984,3,2,2,-0.4873,-0.3357,False,4.0,90.0,0.9,1.1
C_sp4.0_rv75_tr1.20_th1.10,256.4288,25.5243,230.9045,3,1,1,-0.6598,-0.1143,False,4.0,75.0,1.2,1.1
C_sp4.0_rv80_tr1.20_th1.10,256.4288,25.5243,230.9045,3,1,1,-0.6598,-0.1143,False,4.0,80.0,1.2,1.1
C_sp4.0_rv85_tr1.20_th1.10,256.4288,25.5243,230.9045,3,1,1,-0.6598,-0.1143,False,4.0,85.0,1.2,1.1
C_sp4.0_rv90_tr1.20_th1.10,256.4288,25.5243,230.9045,3,1,1,-0.6598,-0.1143,False,4.0,90.0,1.2,1.1
C_sp4.0_rv70_tr0.90_th1.10,255.9697,25.3029,230.6669,3,2,2,-1.1189,-0.3357,False,4.0,70.0,0.9,1.1
C_sp4.0_rv75_tr1.00_th1.10,255.6937,25.44,230.2537,2,2,1,-1.3949,-0.1986,False,4.0,75.0,1.0,1.1
C_sp4.0_rv80_tr1.00_th1.10,255.6937,25.44,230.2537,2,2,1,-1.3949,-0.1986,False,4.0,80.0,1.0,1.1
C_sp4.0_rv85_tr1.00_th1.10,255.6937,25.44,230.2537,2,2,1,-1.3949,-0.1986,False,4.0,85.0,1.0,1.1
C_sp4.0_rv90_tr1.00_th1.10,255.6937,25.44,230.2537,2,2,1,-1.3949,-0.1986,False,4.0,90.0,1.0,1.1
C_sp4.0_rv70_tr1.20_th1.10,255.7694,25.5243,230.2452,3,1,1,-1.3191,-0.1143,False,4.0,70.0,1.2,1.1
C_sp4.0_rv70_tr1.00_th1.10,255.029,25.44,229.589,2,2,1,-2.0595,-0.1986,False,4.0,70.0,1.0,1.1
C_sp4.0_rv75_tr1.10_th1.00,252.7101,25.5429,227.1672,2,1,1,-4.3785,-0.0957,False,4.0,75.0,1.1,1.0
C_sp4.0_rv80_tr1.10_th1.00,252.7101,25.5429,227.1672,2,1,1,-4.3785,-0.0957,False,4.0,80.0,1.1,1.0
C_sp4.0_rv85_tr1.10_th1.00,252.7101,25.5429,227.1672,2,1,1,-4.3785,-0.0957,False,4.0,85.0,1.1,1.0
C_sp4.0_rv90_tr1.10_th1.00,252.7101,25.5429,227.1672,2,1,1,-4.3785,-0.0957,False,4.0,90.0,1.1,1.0
C_sp4.0_rv70_tr1.10_th1.00,252.0853,25.5429,226.5424,2,1,1,-5.0033,-0.0957,False,4.0,70.0,1.1,1.0
C_sp4.5_rv75_tr1.00_th1.10,248.7803,25.5471,223.2332,2,2,1,-8.3082,-0.0914,False,4.5,75.0,1.0,1.1
C_sp4.5_rv70_tr1.20_th1.10,248.5915,25.6314,222.96,2,1,1,-8.4971,-0.0071,False,4.5,70.0,1.2,1.1
C_sp4.5_rv70_tr1.00_th1.10,247.8494,25.5471,222.3023,2,2,1,-9.2391,-0.0914,False,4.5,70.0,1.0,1.1
