Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-02-27,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.00999900009997873
2026-03-02,9999.000099990002,SOXS,no change,no change,no change,no change,SOXS,9999.555630858384,0.5555308683815383,0.0055558642146902315,0.0044436914161633465
2026-03-03,9999.555630858384,SOXS,no change,no change,no change,no change,SOXS,11499.693224264569,1500.1375934061853,15.002042578540165,0.0
2026-03-04,11499.693224264569,SOXS,no change,no change,no change,no change,SOXS,10749.835824178967,-749.8574000856024,-6.520673077638184,6.520673077638186
2026-03-05,10749.835824178967,SOXS,13:08,SOXS->SOXS (SOXS),15:55,SOXS,SOXS,11567.301325356113,817.4655011771465,7.60444637990163,0.0
2026-03-06,11567.301325356113,SOXS,09:30,SOXS->SOXS (SOXS),15:55,SOXL,SOXL,12286.969397235292,719.6680718791795,6.221572790721974,0.0
2026-03-09,12286.969397235292,SOXL,15:41,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,13584.721934114978,1297.752536879685,10.562023025561484,0.0
2026-03-10,13584.721934114978,SOXL,14:14,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,14517.657361460295,932.9354273453173,6.867534218734805,0.0
2026-03-11,14517.657361460295,SOXL,no change,no change,15:55,SOXS,SOXS,15037.30134701956,519.6439855592653,3.579392822279659,0.0
2026-03-12,15037.30134701956,SOXS,10:02,SOXS->SOXS (SOXS),15:55,SOXL,SOXL,16237.664952189836,1200.363605170276,7.982573318637343,0.0
2026-03-13,16237.664952189836,SOXL,no change,no change,no change,no change,SOXL,16351.124379885312,113.45942769547582,0.698742263924923,0.0
2026-03-16,16351.124379885312,SOXL,10:38,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,17589.954353466484,1238.8299735811725,7.576420708444642,0.0
2026-03-17,17589.954353466484,SOXL,no change,no change,no change,no change,SOXL,17943.652932906884,353.69857944039904,2.0107987339415434,0.0
2026-03-18,17943.652932906884,SOXL,no change,no change,no change,no change,SOXL,17835.57836696676,-108.07456594012183,-0.602299689724406,0.6022996897244026
2026-03-19,17835.57836696676,SOXL,no change,no change,no change,no change,SOXL,18009.152669840292,173.57430287353054,0.9731913330885078,0.0
2026-03-20,18009.152669840292,SOXL,no change,no change,no change,no change,SOXL,16618.920753428723,-1390.2319164115688,-7.719585379159866,7.71958537915986
2026-03-23,16618.920753428723,SOXL,07:13,SOXL->SOXL (SOXL),15:55,SOXS,SOXS,17777.00283180072,1158.0820783719973,6.9684553862083165,1.289065856098549
2026-03-24,17777.00283180072,SOXS,no change,no change,no change,no change,SOXS,17260.872494665266,-516.1303371354552,-2.9033597059014093,4.154999343351463
2026-03-25,17260.872494665266,SOXS,no change,no change,no change,no change,SOXS,16568.5054076591,-692.3670870061651,-4.011194029850762,7.999528287601371
2026-03-26,16568.5054076591,SOXS,11:05,SOXS->SOXS (SOXS),15:55,SOXL,SOXL,18007.60331740642,1439.097909747321,8.685743670530899,0.008603138983132115
2026-03-27,18007.60331740642,SOXL,no change,no change,no change,no change,SOXL,17125.418219186882,-882.1850982195392,-4.898958971218592,4.9071406459527065
2026-03-30,17125.418219186882,SOXL,no change,no change,no change,no change,SOXL,14995.30878411094,-2130.1094350759413,-12.438291478858144,16.735067667989725
2026-03-31,14995.30878411094,SOXL,10:07,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,16116.871087753647,1121.562303642706,7.479421196255154,10.507332670101832
2026-04-01,16116.871087753647,SOXL,09:43,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,17186.233213473657,1069.3621257200102,6.635047956253515,4.569451275432677
2026-04-02,17186.233213473657,SOXL,no change,no change,no change,no change,SOXL,17370.588938012403,184.35572453874556,1.0726941863806072,3.5457733272331264
2026-04-06,17370.588938012403,SOXL,no change,no change,no change,no change,SOXL,18009.249840878772,638.6609028663697,3.676679617170464,0.0
2026-04-07,18009.249840878772,SOXL,19:33,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,20827.57005296332,2818.320212084549,15.649292652308656,0.0
2026-04-08,20827.57005296332,SOXL,04:03,SOXL->SOXL (SOXL),15:55,SOXL,SOXL,23635.848195753155,2808.2781427898335,13.483465116902948,0.0
2026-04-09,23635.848195753155,SOXL,no change,no change,no change,no change,SOXL,25241.40135827091,1605.5531625177537,6.792873051224957,0.0
2026-04-10,25241.40135827091,SOXL,no change,no change,no change,no change,SOXL,26824.143382960545,1582.7420246896363,6.2704205769899435,0.0
